Region,Site,DecayClass,TreeSpecies,WoodType,mg CO2/g/d,Moisture Content (%),Density (g/cm3),TC %,TKN %,P mg/kg,K mg/kg,Ca mg/kg,Mg mg/kg,Mn mg/kg,C/N,N/P,Cmass,Nmass,Pmass,Kmass,Camass,Mgmass,Mnmass,LowerDiameter,UpperDiameter,Length
3W,3,4,Sb,softwood,0.42,75.50455085,0.155,50.64,0.1306,70.32,193.69,2817.49,215.8,177.73,387.6,18.57976651,1427.141544,3.68058226,0.198176527,0.545859095,7.940278493,0.608169718,0.500880463,17.8,15.6,234
3W,3,4,Sb,softwood,0.34,69.40032415,0.202,51.02,0.168,121.47,63.6,2900.52,259.95,207.48,303.71,13.82888303,1873.844193,6.17024352,0.446130643,0.23358779,10.65292544,0.954735002,0.762025075,15.6,12.3,189
3W,3,4,Sb,softwood,0.72,77.8879524,0.144,52.18,0.1539,91.36,49.65,2843.9,244.05,201.81,339.06,16.84636204,1366.180934,4.029422112,0.239199483,0.129994027,7.445921731,0.638973662,0.528380556,13.0,9.5,214.5
3W,3,5,Pj,softwood,1.26,64.70588235,0.197,45.38,0.1123,45.91,44.72,910.15,148.69,39.56,403.91,24.47188427,1625.445345,4.022422042,0.164442917,0.160180511,3.260024418,0.532585871,0.141698144,13.0,12.5,139
3W,3,5,Pj,softwood,0.78,63.78113516,0.152,51.67,0.1095,72.3,48.97,1241.2,205.48,60.49,471.74,15.15003251,1427.985189,3.02621208,0.199812907,0.135336626,3.430259757,0.567877679,0.167174035,12.5,12.8,153
3W,3,5,Sb,softwood,0.88,82.57464513,0.098,43.79,0.2279,132.37,406.25,2223.74,210.05,137.69,192.16,17.21387059,780.2659844,4.060804244,0.235861631,0.723870875,3.962339987,0.374274652,0.245340999,15.5,14.3,218
3W,3,1,Po,hardwood,0.72,61.20996441,0.393,48.98,0.0795,57.53,1077.16,6708.28,586.31,48.74,616.3,13.81623533,3499.878635,5.68069317,0.411082111,7.696874786,47.93418916,4.189493349,0.348272937,12.8,11.3,139
3W,3,1,Po,hardwood,1.01,65.4109589,0.359,48.93,0.0871,88.95,1384.9,3373.74,425.99,18.45,561.61,9.795425385,3193.826483,5.685311398,0.580606715,9.039710396,22.0215413,2.780580715,0.120429386,11.3,10.4,153
3W,3,1,Po,hardwood,0.65,61.99712644,0.38,48.63,0.0694,66.19,2680.65,8512.37,1290.37,85.26,700.5,10.48855662,3359.924508,4.79495704,0.4573173,18.52103975,58.81332631,8.915372789,0.589074982,10.3,9.6,192.5
3W,3,2,Po,hardwood,0.8,49.3614304,0.32,47.8,0.0751,33.93,817.68,10310.37,834.37,1,636.1,22.14926507,2781.11872,4.36949824,0.197412883,4.757458483,59.98820715,4.854564909,0.00581824,9.5,11,200
3W,3,2,Po,hardwood,0.58,40.93406593,0.312,47.56,0.0998,51.44,869,10951.54,759.41,1,476.66,19.39901044,2697.97607,5.661438432,0.291808009,4.929649296,62.12572089,4.307968897,0.005672784,11.2,10.3,156
3W,3,2,Po,hardwood,0.6,44.98765432,0.292,44.37,0.071,10,2359.76,20637.1,2939.11,193.74,624.63,71.0309,2355.667193,3.76949224,0.05309144,12.52830565,109.5653356,15.60415822,1.028593559,10.3,8.5,198
3W,3,3,Po,hardwood,1.44,81.05960265,0.202,47.97,0.0889,77.01,828.45,3556.3,526.04,13.57,539.56,11.54377691,1761.824891,3.265087196,0.282839556,3.042701336,13.06145061,1.932020775,0.049839407,11.0,11,182.5
3W,3,3,Po,hardwood,1.13,83.36058872,0.261,47.66,0.0671,34.51,800.85,3158.37,561.73,0.99,709.79,19.45786056,2261.706253,3.184231842,0.163767274,3.800435277,14.98805115,2.665690838,0.004698047,10.2,9.9,147
3W,3,3,Po,hardwood,1,57.90258449,0.37,48.17,0.0427,21.99,710.02,3948.69,540.38,4.67,1127.72,19.42123696,3240.559678,2.87257418,0.147934207,4.776545947,26.56418018,3.635319989,0.031416678,10.1,9.1,125
3W,3,4,Po,hardwood,0.74,82.81192492,0.073,50.04,0.2051,127.58,1143.84,8163.77,920.44,1,243.96,16.07810045,664.1739144,2.722263586,0.169335148,1.518202818,10.83565763,1.221687126,0.001327286,12.8,11.4,162
3W,3,4,Po,hardwood,1.13,86.59081674,0.076,49.13,0.2806,232.31,2248.77,4684.32,833.81,42.54,175.06,12.08013238,678.8940616,3.877420592,0.321013392,3.107422347,6.472943274,1.15218534,0.058783133,12.4,10.8,200
3W,3,4,Po,hardwood,1.17,86.63303909,0.129,49.87,0.2081,148.23,487.6,4602.41,591.41,27.08,239.61,14.04099066,1169.689879,4.880939718,0.347670204,1.143655073,10.7948514,1.387139144,0.063515544,9.5,9.5,182
3W,3,5,Po,hardwood,1.79,90.58456046,0.094,50.08,0.3417,232.11,418.96,5814.74,573.58,107.5,146.58,14.71920612,855.9212864,5.840022036,0.396701058,0.716047888,9.938018652,0.980310167,0.18372911,8.9,7.9,183
3W,3,5,Po,hardwood,1.3,85.92213921,0.153,48.78,0.2247,185.16,889.5,10120.56,715.75,60.45,217.1,12.13520889,1356.984479,6.250807962,0.515086605,2.474452017,28.15383935,1.991106275,0.168162591,11.5,11,116
